Days,Output,Input 1,Input 2,Input 3,Input 4
1,266,341,209,139,94
2,306,266,219,182,58
3,312,306,341,209,139
4,492,312,266,219,182
5,434,492,306,341,209
6,390,434,312,266,219
7,414,390,492,306,341
8,503,414,434,312,266
9,309,503,390,492,306
10,418,309,414,434,312
11,497,418,503,390,492
12,549,497,309,414,434
13,641,549,418,503,390
14,564,641,497,309,414
15,571,564,549,418,503
16,552,571,641,497,309
17,665,552,564,549,418
18,688,665,571,641,497
19,786,688,552,564,549
20,790,786,665,571,641
21,706,790,688,552,564
22,709,706,786,665,571
23,636,709,790,688,552
24,887,636,706,786,665
25,1034,887,709,790,688
26,969,1034,636,706,786
27,1222,969,887,709,790
28,981,1222,1034,636,706
29,1202,981,969,887,709
30,930,1202,1222,1034,636
31,1273,930,981,969,887
32,1602,1273,1202,1222,1034
33,1251,1602,930,981,969
34,1617,1251,1273,1202,1222
35,1773,1617,1602,930,981
36,1694,1773,1251,1273,1202
37,1873,1694,1617,1602,930
38,1532,1873,1773,1251,1273
39,1975,1532,1694,1617,1602
40,1166,1975,1873,1773,1251
41,1541,1166,1532,1694,1617
42,2029,1541,1975,1873,1773
43,2523,2029,1166,1532,1694
44,1764,2523,1541,1975,1873
45,2545,1764,2029,1166,1532
46,2381,2545,2523,1541,1975
47,2911,2381,1764,2029,1166
48,2695,2911,2545,2523,1541
49,2423,2695,2381,1764,2029
50,2828,2423,2911,2545,2523
51,2635,2828,2695,2381,1764
52,2743,2635,2423,2911,2545
53,2735,2743,2828,2695,2381
54,3171,2735,2635,2423,2911
55,3190,3171,2743,2828,2695
56,3187,3190,2735,2635,2423
57,3471,3187,3171,2743,2828
58,2856,3471,3190,2735,2635
59,3141,2856,3187,3171,2743
60,3099,3141,3471,3190,2735
61,3862,3099,2856,3187,3171
62,4008,3862,3141,3471,3190
63,3803,4008,3099,2856,3187
64,3243,3803,3862,3141,3471
65,3240,3243,4008,3099,2856
66,3531,3240,3803,3862,3141
67,3480,3531,3243,4008,3099
68,3412,3480,3240,3803,3862
69,3462,3412,3531,3243,4008
70,3946,3462,3480,3240,3803
71,3868,3946,3412,3531,3243
72,3504,3868,3462,3480,3240
73,3809,3504,3946,3412,3531
74,4014,3809,3868,3462,3480
75,3682,4014,3504,3946,3412
