Days,Input 1,Input 2,Input 3,Input 4,Output
1,219,182,58,54,266
2,341,209,139,94,306
3,266,219,182,58,312
4,306,341,209,139,492
5,312,266,219,182,434
6,492,306,341,209,390
7,434,312,266,219,414
8,390,492,306,341,503
9,414,434,312,266,309
10,503,390,492,306,418
11,309,414,434,312,497
12,418,503,390,492,549
13,497,309,414,434,641
14,549,418,503,390,564
15,641,497,309,414,571
16,564,549,418,503,552
17,571,641,497,309,665
18,552,564,549,418,688
19,665,571,641,497,786
20,688,552,564,549,790
21,786,665,571,641,706
22,790,688,552,564,709
23,706,786,665,571,636
24,709,790,688,552,887
25,636,706,786,665,1034
26,887,709,790,688,969
27,1034,636,706,786,1222
28,969,887,709,790,981
29,1222,1034,636,706,1202
30,981,969,887,709,930
31,1202,1222,1034,636,1273
32,930,981,969,887,1602
33,1273,1202,1222,1034,1251
34,1602,930,981,969,1617
35,1251,1273,1202,1222,1773
36,1617,1602,930,981,1694
37,1773,1251,1273,1202,1873
38,1694,1617,1602,930,1532
39,1873,1773,1251,1273,1975
40,1532,1694,1617,1602,1166
41,1975,1873,1773,1251,1541
42,1166,1532,1694,1617,2029
43,1541,1975,1873,1773,2523
44,2029,1166,1532,1694,1764
45,2523,1541,1975,1873,2545
46,1764,2029,1166,1532,2381
47,2545,2523,1541,1975,2911
48,2381,1764,2029,1166,2695
49,2911,2545,2523,1541,2423
50,2695,2381,1764,2029,2828
51,2423,2911,2545,2523,2635
52,2828,2695,2381,1764,2743
53,2635,2423,2911,2545,2735
54,2743,2828,2695,2381,3171
55,2735,2635,2423,2911,3190
56,3171,2743,2828,2695,3187
57,3190,2735,2635,2423,3471
58,3187,3171,2743,2828,2856
59,3471,3190,2735,2635,3141
60,2856,3187,3171,2743,3099
61,3141,3471,3190,2735,3862
62,3099,2856,3187,3171,4008
63,3862,3141,3471,3190,3803
64,4008,3099,2856,3187,3243
65,3803,3862,3141,3471,3240
66,3243,4008,3099,2856,3531
67,3240,3803,3862,3141,3480
68,3531,3243,4008,3099,3412
69,3480,3240,3803,3862,3462
70,3412,3531,3243,4008,3946
71,3462,3480,3240,3803,3868
72,3946,3412,3531,3243,3504
73,3868,3462,3480,3240,3809
74,3504,3946,3412,3531,4014
75,3809,3868,3462,3480,3682
